gen,PC1,PC2,PC3
1,-26.72484244,5.049525472,-8.681158622
2,-59.35154828,-0.070032295,-3.508335976
3,-42.90647613,-35.23647556,-2.319008222
4,-46.25776972,-6.308794267,9.387446493
5,-53.18526556,-13.87975297,-4.088449855
6,-55.24008292,-9.983995985,-24.33575747
7,-15.80168411,21.62261169,-17.139277
8,-0.325231541,41.45775785,-1.257928435
9,5.994259355,32.06441943,2.55402682
10,2.916051333,13.15934895,-24.97714133
11,13.95308277,11.63904244,-0.647372566
12,-15.68300475,6.065373149,5.527280187
13,11.37983626,13.21066315,-0.86608321
14,-6.639313597,3.651921642,-21.73346036
15,-4.412761241,4.93100958,-17.70574424
16,8.834311689,33.32981174,7.603517634
17,-27.19213428,-27.32176891,32.29294918
18,-28.52489668,7.01275931,-25.35250359
19,-2.458001435,0.48845119,5.236395694
20,-13.90683758,9.496363591,10.68396362
21,-8.996248733,1.659713477,-3.176078585
22,-22.58101234,9.831774274,7.50872466
23,-26.44648031,14.3253246,-23.44788836
24,-17.64221741,18.69564748,-0.780086104
25,-6.753055785,-24.24256155,45.64773173
26,-39.83973656,8.699731449,-3.647357208
27,-23.0506465,22.53752852,-5.008171486
28,-7.56444127,32.1229389,-2.629499079
29,-13.8500298,2.169122842,40.86045796
30,-32.30667901,-1.287479757,22.55473578
31,4.816085462,28.08107399,-14.14841647
32,4.895732204,-2.095962044,10.53114161
33,6.654824455,32.54406265,24.85111356
35,-16.23110297,26.49023019,-13.72067763
36,13.13494245,13.73574728,9.722748571
37,2.934478558,29.34969914,-6.724477639
38,19.12445274,16.17611757,31.73580505
39,5.718878027,32.05063005,5.506787905
40,-3.167188708,27.61952712,8.67175685
41,8.371321644,10.53180894,-5.721427807
42,8.978605626,43.28616547,-4.747279363
43,0.503212093,30.33148248,-19.86601028
44,19.61346309,-7.854346676,-22.59136393
45,-27.80797935,-1.157738128,8.303015326
46,-10.59340962,20.98005552,29.11831395
47,-6.432399813,22.96180916,-22.69877919
48,-13.95125632,12.14515553,-15.65544272
49,11.29947613,-1.405517238,33.89663865
50,1.531988965,2.91354328,-8.047414911
51,-28.85794853,18.38746527,11.19016092
52,-14.10436545,11.4316259,1.797952837
53,0.796740245,15.12577334,-0.332471528
54,-40.90437382,-44.78249752,1.270957152
55,-30.31622919,-20.46812816,-11.2395659
57,1.055851488,36.75112111,10.29289446
58,2.458016952,5.100261105,10.60319602
59,8.497608626,15.14707856,-4.959956634
60,11.22063674,-5.579203328,-19.37021018
61,5.654118083,-13.11209219,-12.08471526
62,-35.19261916,-22.35599081,-13.24873756
63,18.6268069,7.001273174,19.48177619
64,21.81329586,-14.93628162,-21.00952462
65,-26.75769951,-22.77561081,-20.13037842
66,-15.49706773,-21.76405507,25.49536935
67,17.45628452,-15.90809773,-6.395572433
68,-40.98921973,-20.18181274,-22.83256919
69,-54.29649338,-27.17327903,-7.671838199
70,-46.88262996,-28.15069928,9.333582253
71,-34.88510801,-36.40296745,-1.054603746
72,-38.29866753,-33.84363897,-7.835364899
73,-47.04188401,-31.19204084,-12.78078159
74,4.949951195,23.9540563,3.384400672
75,13.22757677,19.29248373,4.572408986
76,4.389618843,14.05560829,-29.26443793
77,32.53258087,-6.115398528,-2.795405956
78,17.0839852,16.57637541,2.036959969
79,-0.621449587,45.27559635,20.66809929
80,-3.033853723,1.879910905,19.10797465
81,17.18661488,-35.33657522,57.46362067
82,-17.09276247,-37.80284315,18.01509097
83,2.452830339,4.87866073,1.295609904
84,-43.01462169,-11.08701029,-22.83562239
85,6.848828978,31.20494898,9.530805186
86,8.964430647,19.34313307,24.20811453
87,-30.80703594,-26.79976579,34.92451618
88,-13.70697601,34.47066489,-14.07205831
89,-19.52364868,4.707321231,-8.964737359
90,-3.078879324,34.08287437,-6.121093598
92,-41.65088824,-46.70204956,42.81910994
93,18.71611978,3.074574012,34.14095731
94,-28.6069897,-9.215050798,-24.01945321
95,-7.334203106,12.19330878,20.02508084
96,-1.752475645,-3.639046385,-7.379283469
97,-1.532724318,39.03848612,-13.72992647
99,-9.750034036,38.46758678,9.275628459
100,10.66048289,25.75334142,32.68544855
101,-15.16627672,7.337724313,-9.354277232
103,-0.271148794,9.689720037,6.617983842
104,7.344349141,-5.210852816,-10.76780911
105,1.721253821,5.220401853,4.514636194
106,0.317919448,6.674832134,-11.30029451
107,-19.50158616,-2.364074167,-22.68258711
108,-14.1914513,27.22704718,-20.11382182
109,-0.98118364,8.550868387,-5.426586853
112,17.40005872,13.52397265,-10.11486898
113,8.307010594,2.805485734,-23.55774487
115,11.95126848,-18.37706,-6.730599233
116,9.984348691,15.20926106,-0.985025837
117,0.868340804,2.222831206,-5.202512042
118,15.58327787,-37.62017828,-3.683903235
119,7.022345217,-0.086242035,-19.78973659
120,9.177755682,15.13926267,6.054871197
121,-22.53795904,-7.567220033,21.16867398
122,-17.83202741,0.845547685,-26.59247994
123,-8.574406727,-0.6614308,11.94542842
124,7.477870377,18.73459157,17.53442905
125,9.526450023,34.47876865,-0.121891087
126,-6.820463337,48.19752249,4.398521406
127,3.328165988,22.60897907,-24.4031823
128,10.27074035,24.85524345,-4.640231236
129,9.115977333,2.881484343,46.02182738
130,-4.252168615,23.7992352,-0.519400893
131,-43.73817138,-30.57321834,-6.523203598
132,5.942904658,22.46574441,0.372052597
133,3.293247798,14.72756023,17.85649092
134,16.84940795,-16.39825894,35.09722168
135,6.011992712,16.11506041,-2.966786491
136,7.592906908,32.43616827,2.550281564
137,0.461678836,29.06430993,13.86323695
138,3.098705363,20.46964132,-7.543965691
139,-33.97167884,-21.96047543,11.59231949
140,-46.70460971,-20.59177139,-14.37847601
141,-52.12251823,-20.93344175,12.5532148
142,-27.57369497,-19.40715022,12.3091151
143,-3.948871142,23.3370338,5.389173584
144,16.31897443,-3.75055203,-6.543547098
145,10.76601289,10.62360172,-14.29474796
146,14.63791069,0.023972075,-31.20836677
147,23.84182796,-16.26961758,-13.90238587
148,21.01973995,-6.712869291,20.33607685
149,26.66003891,-18.67611828,41.92346604
150,8.65616404,1.462807942,-25.55258802
151,-2.629750337,3.780720171,-11.74652982
152,15.15508757,-1.090474391,24.8799902
153,11.55162937,10.05100507,-10.48083112
154,12.57029861,7.636886871,8.950124208
155,23.45191384,-16.97797407,-5.99221418
156,15.84098256,-20.2798489,1.537645464
157,13.93063203,-13.6821682,5.507287978
158,14.64171685,0.231547364,-24.38836979
159,25.45333406,-16.46812848,13.68978513
160,-3.728660608,-24.1710725,8.120003116
161,23.08193719,-11.43169299,3.753081978
162,6.369493697,-8.66736211,-26.81709414
163,37.07370053,-20.29439702,-15.57168454
164,24.2010565,-20.79534973,-17.02409213
165,43.69976994,-31.87952143,-1.553778531
166,25.47529895,-62.53398587,2.054126819
167,29.39967569,-31.43860533,-15.16363105
168,17.01290784,-26.28157971,23.35171709
169,18.55002315,-2.985403345,-23.02728164
170,22.709895,-16.44085068,-40.98231926
171,49.7461372,-46.37743192,-32.05021282
172,42.72179903,-35.76703867,-17.31694271
173,33.33682429,-31.95097815,-29.36315735
174,30.95698154,-31.39599117,-32.29422567
175,35.05874676,-28.37263594,-33.4490562
176,11.0060608,-4.915688189,-7.928334355
177,24.34611854,-24.63117767,-5.323430616
178,35.59772213,-31.90263817,-26.20904735
179,25.34321701,-23.33861928,-14.06712544
180,13.51965364,-8.634122664,-4.411303952
181,18.46431787,-10.30957253,24.54448509
182,7.988131314,-2.027365493,21.25076716
183,7.077437973,7.668130561,18.59216125
184,37.49305674,-33.30862956,36.94816676
185,26.40344245,-19.71889364,12.81988691
186,8.246487034,-1.82262885,-24.74890806
187,25.29404951,-19.93728454,23.12089962
188,21.8139548,-9.658024403,32.18609299
189,7.73166173,1.927970745,20.40238909
190,11.79938701,-4.220650346,-11.41385909
191,24.97075842,0.591145947,-7.082740585
192,21.48800623,-17.37596487,4.378093268
193,18.59842471,-12.28341508,30.91989357
194,-1.200794744,4.023038672,-0.929291188
195,13.18604589,0.313262939,-18.90328864
196,16.91464131,-10.42063836,28.2893618
197,19.97875726,-6.561599775,-10.55734536
198,17.82200726,-15.6512854,-18.65141509
201,9.894289595,15.87010935,4.4787139
202,10.33850525,16.89580502,14.01147059