N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
663,120101,92.637,22.988,11.445,28.059,0.79,1.178,12.439,54.57,40.482,1.609,3.607,10.983,85.274,0.071,56.561,1,1,1,1,80,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
664,120102,92.712,22.01,11.779,29.148,0.866,1.283,12.459,56.204,37.867,1.727,3.879,11.204,84.9,0.062,54.983,1,1,2,2,132,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
665,120103,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216,1,1,3,3,202,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
666,120104,92.516,21.391,10.666,30.514,0.854,1.312,11.936,55.38,38.428,1.891,3.889,12.033,84.041,0.058,54.059,1,1,4,4,103,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
667,120105,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,1,2,1,5,201,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
668,120106,92.459,22.659,11.243,28.213,0.806,1.246,11.822,53.257,40.961,1.788,3.862,11.079,84.89,0.072,56.66,1,2,2,6,104,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
669,120107,92.45,24.249,11.766,26.826,0.752,1.172,12.391,51.026,44.239,1.347,3.289,12.693,83.99,0.071,57.341,1,2,3,7,43,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
670,120108,92.505,22.457,11.775,26.584,0.849,1.29,12.457,54.775,39.681,1.865,3.526,12.115,84.207,0.058,54.764,1,2,4,8,154,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
671,120109,92.869,23.273,12.202,26.052,0.966,1.547,12.795,54.041,39.043,2.378,4.256,11.434,84.192,0.063,54.375,1,3,1,9,40,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
672,120110,92.498,23.178,11.772,27.362,0.759,1.203,12.15,54.078,40.851,1.591,3.532,10.748,85.584,0.076,58.753,1,3,2,10,78,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
673,120111,92.978,22.235,11.845,28.231,0.849,1.256,11.593,51.491,42.56,1.853,3.67,13.326,83.015,0.062,56.009,1,3,3,11,91,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
674,120112,92.838,22.848,11.701,28.565,0.87,1.318,11.955,51.586,42.634,1.834,3.697,13.962,82.316,0.058,54.201,1,3,4,12,48,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
675,120113,92.335,21.682,11.792,29.43,0.789,1.164,11.72,54.889,39.828,1.55,3.875,11.33,84.669,0.073,57.738,1,4,1,13,72,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
676,120114,92.839,22.61,11.84,27.51,0.894,1.364,12.379,53.998,39.73,1.959,3.783,12.347,83.755,0.059,54.9,1,4,2,14,178,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
677,120115,92.564,22.324,11.408,28.433,0.817,1.177,11.756,53.555,40.885,1.589,3.847,11.606,84.367,0.068,56.283,1,4,3,15,110,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
678,120116,91.951,23.433,11.973,26.734,0.77,1.157,12.106,51.722,43.681,1.523,3.418,12.788,83.673,0.071,57.319,1,4,4,16,16,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
679,120117,92.788,24.653,11.956,26.646,0.864,1.303,12.68,49.962,44.963,1.566,3.241,14.862,81.679,0.057,54.619,1,5,1,17,44,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
680,120118,92.332,23.207,11.339,27.949,0.758,1.111,11.196,48.821,46.439,1.53,3.464,14.211,82.235,0.069,57.458,1,5,2,18,51,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
681,120119,92.22,23.669,11.146,26.19,0.757,1.271,12.577,53.359,41.776,1.805,3.346,11.594,84.947,0.071,59.047,1,5,3,19,130,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
682,120120,92.053,22.209,11.33,23.684,0.681,1.122,12.181,56.347,38.763,1.72,3.245,9.227,87.361,0.076,59.415,1,5,4,20,166,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
683,120201,92.019,20.856,11.286,28.932,0.708,1.107,10.862,53.411,41.425,1.715,3.68,11.635,84.581,0.075,59.059,2,1,1,1,54,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
684,120202,92.41,23.442,11.817,27.254,0.715,1.085,11.37,49.627,46.143,1.523,3.055,13.78,82.995,0.068,58.258,2,1,2,2,15,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
685,120203,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,2,1,3,3,201,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
686,120204,92.305,21.763,10.645,28.772,0.761,1.199,10.938,51.324,43.591,1.918,3.744,12.914,83.261,0.068,58.006,2,1,4,4,6,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
687,120205,92.419,25.446,11.767,24.505,0.733,1.101,13.408,53.312,42.88,1.131,2.721,11.862,85.256,0.069,58.227,2,2,1,5,33,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
688,120206,92.543,24.323,11.782,26.892,0.731,1.138,12.022,49.141,46.558,1.381,3.061,13.627,83.216,0.07,58.179,2,2,2,6,100,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
689,120207,91.846,23.819,11.709,26.987,0.735,1.121,10.989,46.116,49.568,1.568,3.099,16.491,80.365,0.064,57.718,2,2,3,7,179,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
690,120208,92.082,25.119,11.407,25.798,0.78,1.287,12.87,51.088,44.33,1.632,3.165,12.912,83.759,0.064,57.036,2,2,4,8,126,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
691,120209,92.266,21.999,10.561,29.081,0.752,1.143,11.534,54.391,40.468,1.585,3.683,11.192,85.077,0.07,59.196,2,3,1,9,92,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
692,120210,92.212,22.818,11.81,28.504,0.774,1.221,10.784,48.01,46.934,1.799,3.519,15.561,80.752,0.063,56.869,2,3,2,10,174,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
693,120211,92.575,24.263,12.024,27.096,0.826,1.228,12.031,49.222,45.744,1.509,3.537,14.623,81.787,0.065,55.3,2,3,3,11,28,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
694,120212,91.841,22.712,11.206,27.658,0.706,1.158,11.235,50.256,44.969,1.705,3.191,14.031,82.585,0.069,59.031,2,3,4,12,144,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
695,120213,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146,2,4,1,13,202,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
696,120214,92.508,22.701,11.685,28.46,0.793,1.181,11.56,51.9,42.934,1.603,3.511,13.462,82.956,0.066,56.683,2,4,2,14,66,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
697,120215,92.346,26.087,11.769,24.003,0.756,1.235,13.093,49.564,46.062,1.494,2.674,13.85,83.399,0.066,56.931,2,4,3,15,90,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
698,120216,92.74,23.729,11.257,28.406,0.814,1.115,12.165,51.911,43.373,1.397,3.588,12.427,83.991,0.069,57.964,2,4,4,16,68,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
699,120217,92.745,22.865,11.541,27.617,0.769,1.196,11.287,50.299,44.375,1.621,3.494,13.353,82.971,0.072,58.208,2,5,1,17,149,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
700,120218,92.519,21.987,11.288,29.167,0.788,1.196,11.781,54.494,39.838,1.605,3.834,11.302,84.753,0.069,57.446,2,5,2,18,102,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
701,120219,92.914,22.969,11.889,27.599,0.828,1.322,11.443,51.369,41.513,1.978,3.689,12.007,83.953,0.068,56.699,2,5,3,19,168,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
702,120220,92.529,23.684,11.677,27.32,0.725,1.099,11.171,47.783,47.919,1.641,2.986,14.953,81.932,0.065,57.346,2,5,4,20,164,ID_2020,ID,2020,ID_2020,92.31,21.425,11.244,29.635,0.757,1.106,10.892,51.098,43.846,1.499,3.702,13.735,82.6,0.069,58.237,92.783,22.858,11.213,28.282,0.767,1.149,11.534,51.048,44.024,1.481,3.441,12.856,83.576,0.069,57.146
703,120301,92.435,23.723,11.141,27.254,0.834,1.25,12.346,51.914,42.933,1.606,3.528,12.803,83.493,0.062,54.518,3,1,1,1,186,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
704,120302,92.092,23.371,11.155,27.818,0.774,1.178,11.524,50.052,44.911,1.648,3.338,14.169,82.294,0.064,56.627,3,1,2,2,159,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
705,120303,92.597,23.434,11.15,29.759,0.83,1.238,11.377,48.222,46.865,1.604,3.733,15.207,80.947,0.059,55.849,3,1,3,3,147,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
706,120304,92.292,23.79,11.885,28.358,0.783,1.164,11.21,46.798,48.44,1.507,3.429,15.798,80.565,0.063,57.153,3,1,4,4,109,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
707,120305,92.455,25.106,12.254,26.469,0.811,1.209,12.53,49.046,46.518,1.376,3.211,14.52,82.242,0.066,56.674,3,2,1,5,29,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
708,120306,92.17,25.893,11.105,23.642,0.747,1.251,12.437,47.282,48.235,1.579,2.97,14.648,82.286,0.068,57.926,3,2,2,6,75,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
709,120307,92.686,24.352,11.503,27.107,0.77,1.119,11.942,48.756,46.862,1.192,3.167,14.645,82.172,0.065,57.283,3,2,3,7,161,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
710,120308,91.985,23.803,11.586,27.582,0.777,1.288,11.549,48.578,46.479,1.742,3.337,15.476,81.051,0.064,58.232,3,2,4,8,127,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
711,120309,92.067,23.331,11.921,26.73,0.732,1.188,11.405,49.843,45.45,1.652,3.232,14.317,82.254,0.073,59.398,3,3,1,9,120,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
712,120310,92.169,23.607,10.903,26.086,0.756,1.236,12.266,52.846,42.028,1.797,3.222,11.951,84.665,0.067,56.413,3,3,2,10,155,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
713,120311,92.697,23.248,10.654,26.409,0.78,1.206,12.237,53.102,41.721,1.558,3.461,11.436,84.905,0.066,56.035,3,3,3,11,41,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
714,120312,92.637,23.903,11.556,26.373,0.776,1.143,11.911,50.132,44.909,1.325,3.396,12.897,83.609,0.072,57.643,3,3,4,12,151,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
715,120313,92.705,23.532,11.077,26.982,0.783,1.198,11.862,50.677,44.389,1.586,3.342,13.49,83.015,0.065,57.739,3,4,1,13,150,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
716,120314,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,3,4,2,14,201,ID_2020,ID,2020,ID_2020,91.773,23.997,11.164,27.209,0.785,1.28,12.417,51.763,43.092,1.628,3.262,13.669,82.784,0.06,55.536,92.388,23.223,10.936,27.794,0.804,1.171,11.034,47.655,47.221,1.584,3.548,15.087,81.17,0.064,57.897
